datetime,service_rating,title,text,category_slug,category_name,product_slug
2025-08-18T13:25:18.000Z,5,Efficacité ,Prise de commande facile Délai de livraison rapide Livraison dans les délais annoncés Efficacité pour l’instant lors des dernières livraisons,food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-18T11:57:03.000Z,5,Comme d habitude,"Comme d habitude, livraison à l heure et sourire en plus....",food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-18T11:00:47.000Z,5,Impeccable comme de coutume,Impeccable comme de coutume,food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-18T10:46:43.000Z,5,"Service parfait, comme toujours ! ","Super service, merci le Fourgon ! Commande rapide, livreur ponctuel et adorable.",food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-17T20:31:09.000Z,5,Le livreur est venu à l’heure et a…,"Le livreur est venu à l’heure et a déposé notre commande dans la cuisine. Malgré la chaleur samedi dernier, il avait le sourire, livreur très agréable. Le concept des bouteilles recyclées nous séduit, nos parents le faisaient déjà, on redécouvre les gestes utiles pour la planète et c’est cool.",food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-17T08:57:11.000Z,5,Une large gamme de produits ,"La consigne permet de réduire considérablement ses déchets. Je suis heureuse que Le Fourgon me permette, à ma petite échelle, de rendre cette planète un peu plus habitable. J'essaie d'adopter différents gestes responsables, certains plus contraignants que d'autres. Mais acheter des produits consignés fait partie des choses  tellement simples que ça pourrait devenir un réflexe de consommation pour tout le monde. De plus, le fourgon propose une gamme de produits très large , non seulement en boissons mais également en épicerie avec un choix de plus en plus grand. Si je devais améliorer une seule chose, ça serait d'élargir leurs zones de livraison",food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-16T16:12:49.000Z,5,Parfait comme d'habitude,Parfait comme d'habitude,food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-16T14:32:08.000Z,5,Comme d hab c est nickel,Comme d hab c est nickel,food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-16T12:59:44.000Z,5,livreur ponctuel,"livreur ponctuel, très sympa, aimable et serviable.",food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-16T12:48:42.000Z,5,Toujours satisfaite ,Comme d’habitude la livraison a été faite dans les délais et le livreur très agréable.,food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-16T12:34:48.000Z,5,Horaires respectés,"Horaires respectés, efficace et rapide",food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-16T12:03:00.000Z,5,Comme d'habitude livraison impeccable…,Comme d'habitude livraison impeccable de vos produits.  A recommander 😊,food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-16T09:13:34.000Z,5,Livreur Au top ,Livreur Au top Explications sur les différents points sur les commandes ainsi que sur la livraison,food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-15T07:53:12.000Z,5,Parfait livraison dans les temps,Parfait livraison dans les temps,food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-14T21:21:30.000Z,5,Une livraison au top ,Une livraison au top ! Livreur à l'heure et très agréable.,food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-14T18:41:56.000Z,5,Très agréable,"Très agréable, bonne équipe disponible",food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-14T16:46:47.000Z,5,Livraison ponctuelle et personne…,"Livraison ponctuelle et personne agréable. Toujours très bien, bravo",food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-14T15:04:43.000Z,5,Une livraison de qualité toujours au top,Une livraison de qualité toujours ponctuelle avrc une communication au top qui nous avertis d'un créneau de 30min le jour de la livraison. Un site hyper simple d'utilisation avec des labels qui permettent de savoir si le produit est local ou encore bio.,food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-14T13:51:44.000Z,5,Très simple et pratique grâce à l’application pour smartphone.,Application très bien conçue intuitive et agréable à utiliser. Très bonne communication pour le suivi de la livraison et de la restitution des consignes. Gamme de produits très large.,food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-14T13:09:02.000Z,5,Excellence du service ,Super bien à l'heure et gentillesse du livreur 👍👍👍,food_beverages_tobacco,"Aliments, boissons & tabac",lefourgon.com
2025-08-18T14:02:59.000Z,5,Je suis très satisfait des repas et surtout d Emilie ,Je suis très satisfait des repas mais aussi et surtout les conseils d Emilie qui est de très bon conseil et qui répond à mes attentes et aussi d une fraîcheur de vivre très agréable un entretien téléphonique très attendu !,food_beverages_tobacco,"Aliments, boissons & tabac",cheef.fr
2025-08-18T12:45:48.000Z,5,Très bon accueil ,Très bon accueil Efficace Clair et précis,food_beverages_tobacco,"Aliments, boissons & tabac",cheef.fr
2025-08-18T12:44:04.000Z,5,Très bon contact avec mon conseiller…,Très bon contact avec mon conseiller Sofiane qui a su me guider pendant toute la commande.,food_beverages_tobacco,"Aliments, boissons & tabac",cheef.fr
2025-08-18T12:30:48.000Z,5,J'ai eu une personne très gentil et…,J'ai eu une personne très gentil et professionnel qui a pu  me donner des conseils positifs concernent mon programme minceur. un grand merci à lui.,food_beverages_tobacco,"Aliments, boissons & tabac",cheef.fr
